tweet_id,favorite_count,retweet_count,source,source_url
828801551087042563,0,3150,Twitter for iPhone,http://twitter.com/download/iphone
828770345708580865,24023,5383,Twitter for iPhone,http://twitter.com/download/iphone
828708714936930305,34162,10296,Twitter for iPhone,http://twitter.com/download/iphone
828650029636317184,8932,1233,Twitter for iPhone,http://twitter.com/download/iphone
828409743546925057,6032,1078,Twitter for iPhone,http://twitter.com/download/iphone
828408677031882754,7234,1182,Twitter for iPhone,http://twitter.com/download/iphone
828381636999917570,11840,2055,Twitter for iPhone,http://twitter.com/download/iphone
828376505180889089,6972,991,Twitter for iPhone,http://twitter.com/download/iphone
828372645993398273,11842,2721,Twitter for iPhone,http://twitter.com/download/iphone
828361771580813312,2065,165,Twitter Web Client,http://twitter.com
828046555563323392,11027,2648,Twitter for iPhone,http://twitter.com/download/iphone
828011680017821696,9751,1981,Twitter for iPhone,http://twitter.com/download/iphone
827933404142436356,18800,4813,Twitter for iPhone,http://twitter.com/download/iphone
827653905312006145,14555,2787,Twitter for iPhone,http://twitter.com/download/iphone
827600520311402496,7048,863,Twitter for iPhone,http://twitter.com/download/iphone
827324948884643840,14914,2799,Twitter for iPhone,http://twitter.com/download/iphone
827199976799354881,9972,2056,Twitter for iPhone,http://twitter.com/download/iphone
826958653328592898,20262,4590,Twitter for iPhone,http://twitter.com/download/iphone
826848821049180160,33969,9310,Twitter for iPhone,http://twitter.com/download/iphone
826615380357632002,0,3671,Twitter for iPhone,http://twitter.com/download/iphone
826598799820865537,4849,229,Twitter for iPhone,http://twitter.com/download/iphone
826598365270007810,9425,2173,Twitter for iPhone,http://twitter.com/download/iphone
826476773533745153,17332,3886,Twitter for iPhone,http://twitter.com/download/iphone
826240494070030336,12502,2411,Twitter for iPhone,http://twitter.com/download/iphone
826204788643753985,4586,855,Twitter for iPhone,http://twitter.com/download/iphone
826115272272650244,14707,2858,Twitter for iPhone,http://twitter.com/download/iphone
825876512159186944,9905,1735,Twitter for iPhone,http://twitter.com/download/iphone
825829644528148480,11990,2324,Twitter for iPhone,http://twitter.com/download/iphone
825535076884762624,53830,16308,Twitter for iPhone,http://twitter.com/download/iphone
